request_id,xid,worker_id,ok,request_bytes,response_bytes,server_rx_enter_ns,server_rx_unblock_ns,server_rx_exit_ns,server_unmarshal_enter_ns,server_unmarshal_exit_ns,server_handler_enter_ns,server_handler_exit_ns,server_marshal_enter_ns,server_marshal_exit_ns,server_tx_enter_ns,server_tx_exit_ns,timestamp_overhead_ns,timestamp_call_count
1824,-506577302,0,1,48,8,114922621610,114922638290,114922638550,114922638620,114922639280,114922639400,114922639500,114922639600,114922639920,114922640000,114922642650,50,11
1825,-489800086,0,1,48,8,114922712010,114922726900,114922727150,114922727230,114922727880,114922728000,114922728110,114922728200,114922728520,114922728610,114922731230,50,11
1826,-473022870,0,1,48,8,114922800680,114922817370,114922817620,114922817690,114922818350,114922818470,114922818570,114922818670,114922818990,114922819080,114922821720,50,11
1827,-456245654,0,1,48,8,114922891160,114922906060,114922906310,114922906380,114922907060,114922907180,114922907280,114922907380,114922907700,114922907790,114922910410,50,11
1828,-439468438,0,1,48,8,114922989800,114923008030,114923008280,114923008350,114923009110,114923009230,114923009330,114923009470,114923009790,114923009870,114923012540,50,11
1829,-422691222,0,1,48,8,114923082420,114923099200,114923099460,114923099530,114923100180,114923100310,114923100410,114923100500,114923100820,114923100910,114923103540,50,11
1830,-405914006,0,1,48,8,114923173030,114923188740,114923189000,114923189070,114923189740,114923189870,114923189970,114923190060,114923190380,114923190470,114923193110,50,11
1831,-389136790,0,1,48,8,114923262610,114923278080,114923278340,114923278410,114923279060,114923279190,114923279290,114923279380,114923279700,114923279790,114923282420,50,11
1832,-372359574,0,1,48,8,114923351830,114923369440,114923369700,114923369770,114923370420,114923370550,114923370650,114923370750,114923371060,114923371150,114923373790,50,11
1833,-355582358,0,1,48,8,114923443240,114923483520,114923483780,114923483850,114923484500,114923484630,114923484730,114923484820,114923485140,114923485230,114923487840,50,11
