Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
284,284,0,181be00000008300,11,05,2,0000000d859cc9b0,1,0
285,285,0,1823e00000008400,11,05,2,0000000d859cc9b4,1,0
286,286,0,182be00000008500,11,05,2,0000000d859cc9b8,1,0
287,287,0,1833e00000008600,11,05,2,0000000d859cc9bc,1,0
288,288,0,0003e00000000000,01,07,0,0000000d859ccb25,1,0
289,289,0,4803c00000000000,11,05,4,0000000d859ccc25,1,0
290,290,0,2804300000008100,01,07,0,0000000d859ccd4f,1,0
291,291,0,2800300000008200,01,07,0,0000000d859ccd51,1,0
292,292,0,2804300000008300,01,07,0,0000000d859ccd53,1,0
293,293,0,2840300000008400,01,07,0,0000000d859ccd55,1,0
294,294,0,2840300000008600,01,07,0,0000000d859ccd57,1,0
295,295,0,2844300000008500,01,07,0,0000000d859ccd59,1,0
296,296,0,5007c00000008100,11,05,4,0000000d859ccd9b,1,0
297,297,0,5003c00000008200,11,05,4,0000000d859ccdb1,1,0
298,298,0,5007c00000008300,11,05,4,0000000d859ccdc7,1,0
299,299,0,5043c00000008400,11,05,4,0000000d859ccddd,1,0
300,300,0,5043c00000008600,11,05,4,0000000d859ccdf3,1,0
301,301,0,5047c00000008500,11,05,4,0000000d859cce09,1,0
302,302,0,0007e00000008000,01,07,0,0000000d859cce65,1,0
303,303,0,180be00000008100,11,05,2,0000000d859ccfbe,1,0
304,304,0,1813e00000008200,11,05,2,0000000d859ccfc2,1,0
305,305,0,181be00000008300,11,05,2,0000000d859ccfc6,1,0
306,306,0,1823e00000008400,11,05,2,0000000d859ccfca,1,0
307,307,0,182be00000008500,11,05,2,0000000d859ccfce,1,0
308,308,0,1833e00000008600,11,05,2,0000000d859ccfd2,1,0
309,309,0,4807c00000008000,11,05,4,0000000d859cd0cc,1,0
310,310,0,2000200000000000,01,0b,1,0000000d859cd1e5,1,0
311,311,0,3807e00000008000,01,07,0,0000000d859cd350,1,0
312,312,0,2800300000008100,01,07,0,0000000d859cd35c,1,0
313,313,0,2800300000008200,01,07,0,0000000d859cd35e,1,0
314,314,0,2800300000008300,01,07,0,0000000d859cd360,1,0
315,315,0,2844300000008400,01,07,0,0000000d859cd362,1,0
316,316,0,2840300000008500,01,07,0,0000000d859cd364,1,0
317,317,0,2844300000008600,01,07,0,0000000d859cd366,1,0
318,318,0,5004000000008000,01,0b,3,0000000d859cd368,1,0
319,319,0,5003c00000008100,11,05,4,0000000d859cd3a8,1,0
320,320,0,5003c00000008200,11,05,4,0000000d859cd3c1,1,0
321,321,0,5003c00000008300,11,05,4,0000000d859cd3d7,1,0
322,322,0,5047c00000008400,11,05,4,0000000d859cd3ed,1,0
323,323,0,5043c00000008500,11,05,4,0000000d859cd403,1,0
324,324,0,5047c00000008600,11,05,4,0000000d859cd419,1,0
325,325,0,1803e00000008000,11,05,2,0000000d859cd507,1,0
326,326,0,180be00000008100,11,05,2,0000000d859cd5cb,1,0
327,327,0,1813e00000008200,11,05,2,0000000d859cd5cf,1,0
328,328,0,181be00000008300,11,05,2,0000000d859cd5d3,1,0
329,329,0,1823e00000008400,11,05,2,0000000d859cd5d7,1,0
330,330,0,182be00000008500,11,05,2,0000000d859cd5db,1,0
331,331,0,1833e00000008600,11,05,2,0000000d859cd5df,1,0
332,332,0,0003e00000000000,01,07,0,0000000d859cd745,1,0
333,333,0,4803c00000000000,11,05,4,0000000d859cd844,1,0
334,334,0,2804300000008100,01,07,0,0000000d859cd96c,1,0
335,335,0,2804300000008200,01,07,0,0000000d859cd96e,1,0
336,336,0,2804300000008300,01,07,0,0000000d859cd970,1,0
337,337,0,2840300000008400,01,07,0,0000000d859cd972,1,0
338,338,0,2840300000008600,01,07,0,0000000d859cd974,1,0
339,339,0,2840300000008500,01,07,0,0000000d859cd976,1,0
340,340,0,5007c00000008100,11,05,4,0000000d859cd9b8,1,0
341,341,0,5007c00000008200,11,05,4,0000000d859cd9ce,1,0
342,342,0,5007c00000008300,11,05,4,0000000d859cd9e4,1,0
343,343,0,5043c00000008400,11,05,4,0000000d859cd9fa,1,0
344,344,0,5043c00000008600,11,05,4,0000000d859cda10,1,0
345,345,0,5043c00000008500,11,05,4,0000000d859cda26,1,0
346,346,0,0003e00000008000,01,07,0,0000000d859cda81,1,0
347,347,0,180be00000008100,11,05,2,0000000d859cdbda,1,0
348,348,0,1813e00000008200,11,05,2,0000000d859cdbde,1,0
349,349,0,181be00000008300,11,05,2,0000000d859cdbe2,1,0
350,350,0,1823e00000008400,11,05,2,0000000d859cdbe6,1,0
351,351,0,182be00000008500,11,05,2,0000000d859cdbea,1,0
352,352,0,1833e00000008600,11,05,2,0000000d859cdbee,1,0
353,353,0,4803c00000008000,11,05,4,0000000d859cdce9,1,0
354,354,0,2000200000000000,01,0b,1,0000000d859cde03,1,0
355,355,0,3803e00000008000,01,07,0,0000000d859cdf6e,1,0
356,356,0,2800300000008100,01,07,0,0000000d859cdf7b,1,0
357,357,0,2800300000008200,01,07,0,0000000d859cdf7d,1,0
358,358,0,2800300000008300,01,07,0,0000000d859cdf7f,1,0
359,359,0,2840300000008400,01,07,0,0000000d859cdf81,1,0
360,360,0,2840300000008600,01,07,0,0000000d859cdf83,1,0
361,361,0,2844300000008500,01,07,0,0000000d859cdf85,1,0
362,362,0,5000000000008000,01,0b,3,0000000d859cdf87,1,0
363,363,0,5003c00000008100,11,05,4,0000000d859cdfd2,1,0
364,364,0,5003c00000008200,11,05,4,0000000d859cdfe8,1,0
365,365,0,5003c00000008300,11,05,4,0000000d859cdffe,1,0
366,366,0,5043c00000008400,11,05,4,0000000d859ce014,1,0
367,367,0,5043c00000008600,11,05,4,0000000d859ce02a,1,0
368,368,0,5047c00000008500,11,05,4,0000000d859ce040,1,0
369,369,0,1803e00000008000,11,05,2,0000000d859ce11e,1,0
