Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
248,248,0,0007e00000008280,11,04,2,000000344a1cf45c,1,0
249,249,0,5043c00000008580,11,04,4,000000344a1cf475,1,0
250,250,0,0007e00000008380,11,04,2,000000344a1cf47e,1,0
251,251,0,5047c00000008680,11,04,4,000000344a1cf499,1,0
252,252,0,0007e00000008480,11,04,2,000000344a1cf4a2,1,0
253,253,0,0007e00000008580,11,04,2,000000344a1cf4c6,1,0
254,254,0,0003e00000008080,01,06,0,000000344a1cf4e9,1,0
255,255,0,0007e00000008680,11,04,2,000000344a1cf4eb,1,0
256,256,0,4803c00000008080,11,04,4,000000344a1cf734,1,0
257,257,0,3803e00000008080,01,06,0,000000344a1cf994,1,0
258,258,0,2804300000008180,01,06,0,000000344a1cf9aa,1,0
259,259,0,2800300000008280,01,06,0,000000344a1cf9ad,1,0
260,260,0,2800300000008380,01,06,0,000000344a1cf9b0,1,0
261,261,0,2840300000008480,01,06,0,000000344a1cf9b3,1,0
262,262,0,2840300000008580,01,06,0,000000344a1cf9b6,1,0
263,263,0,2843f00000008680,01,06,0,000000344a1cf9b9,1,0
264,264,0,5000000000008080,01,0a,3,000000344a1cf9e6,1,0
265,265,0,5007c00000008180,11,04,4,000000344a1cfa6b,1,0
266,266,0,5003c00000008280,11,04,4,000000344a1cfa8e,1,0
267,267,0,5003c00000008380,11,04,4,000000344a1cfab2,1,0
268,268,0,0007e00000008180,11,04,2,000000344a1cfabc,1,0
269,269,0,5043c00000008480,11,04,4,000000344a1cfad5,1,0
270,270,0,0007e00000008280,11,04,2,000000344a1cfae0,1,0
271,271,0,5043c00000008580,11,04,4,000000344a1cfaf9,1,0
272,272,0,0007e00000008380,11,04,2,000000344a1cfb04,1,0
273,273,0,5043c00000008680,11,04,4,000000344a1cfb1c,1,0
274,274,0,0007e00000008480,11,04,2,000000344a1cfb26,1,0
275,275,0,0007e00000008580,11,04,2,000000344a1cfb47,1,0
276,276,0,0007e00000008680,11,04,2,000000344a1cfb6e,1,0
277,277,0,5807e40000008080,01,08,5,000000344a1cfc03,1,0
278,278,0,1807e00000008080,11,04,2,000000344a1cfc51,1,0
279,279,0,2804300000008180,01,06,0,000000344a1d0034,1,0
280,280,0,2804300000008280,01,06,0,000000344a1d0037,1,0
281,281,0,2800300000008380,01,06,0,000000344a1d003a,1,0
282,282,0,2840300000008480,01,06,0,000000344a1d003d,1,0
283,283,0,2840300000008580,01,06,0,000000344a1d0040,1,0
284,284,0,2843f00000008680,01,06,0,000000344a1d0043,1,0
285,285,0,5007c00000008180,11,04,4,000000344a1d00f2,1,0
